@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {1,2,3,4}

@DATA
0.016927,0.125308,3.170925,0.080882,0.158885,0.059425,0.005840,0.017660,-23.780096,3.613714,0.385198,0.232386,-0.092298,-0.051078,-0.291150,0.403674,0.098577,-0.079656,-0.190532,-0.006695,0.114413,0.006965,0.025825,0.006354,0.002703,0.009029,0.025408,0.120345,0.000199,0.004212,0.042873,0.006373,0.000567,0.038938,0.012075,0.073555,0.277009,0.026907,0.036587,0.078972,0.004125,0.004310,2.420789,0.798483,0.660695,0.465607,0.541945,0.356949,0.306508,0.300140,0.356094,0.223563,0.266735,0.187630,0.125448,0.005712,0.018929,0.003652,0.002183,0.004350,0.036538,0.041711,0.000212,0.003545,0.048491,0.005772,0.000293,0.005225,1
0.017393,0.120363,3.079125,0.097256,0.169360,0.118701,0.013896,0.021098,-23.700160,2.899264,1.154961,-0.212300,-0.009290,0.287948,0.029556,0.133509,-0.077250,0.090541,0.129398,-0.085464,-0.027974,0.006243,0.000899,0.005828,0.003614,0.049768,0.020072,0.088918,0.006220,0.003024,0.007543,0.006864,0.044164,0.032567,0.009373,0.073821,0.481278,0.022335,0.032497,0.077568,0.022275,0.009329,3.123675,0.734043,0.719763,0.499541,0.280111,0.635340,0.209253,0.188033,0.229819,0.240142,0.234488,0.162964,0.181035,0.004425,0.000756,0.004879,0.002913,0.023489,0.016740,0.060009,0.015133,0.003587,0.010789,0.005173,0.043581,0.012969,1
0.109659,0.096291,3.144153,0.162015,0.178302,0.579062,0.017155,0.156987,-26.992522,1.976704,0.552579,0.377860,-0.124684,0.181746,0.268294,0.111047,0.161665,0.028308,-0.166334,0.027558,0.013120,0.001894,0.000668,0.009364,0.003627,0.012515,0.000704,0.004759,0.002332,0.005578,0.147633,0.007070,0.000361,0.043669,0.185921,0.085763,0.305813,0.157168,0.057174,1.064099,0.015790,0.286739,3.704278,1.442795,0.643692,0.343718,0.407239,0.274964,0.286702,0.219988,0.270028,0.170883,0.243080,0.230712,0.248611,0.003071,0.000838,0.013810,0.009958,0.034318,0.000852,0.006085,0.005827,0.006482,0.100362,0.011437,0.000621,0.024566,1
0.053463,0.116494,3.111831,0.145360,0.195035,0.379497,0.005094,0.080762,-23.463576,2.238730,1.221607,0.019694,0.101567,-0.177652,-0.142650,-0.057696,-0.055573,-0.079902,0.022166,-0.142913,-0.246403,0.083662,0.000543,0.011614,0.004969,0.005058,0.003219,0.005883,0.001563,0.002744,0.015312,0.090096,0.001470,0.034712,0.076831,0.078113,0.373983,0.066844,0.019250,0.528508,0.005042,0.126569,1.504123,1.435182,0.456829,0.382077,0.208454,0.255810,0.202099,0.188743,0.168290,0.208956,0.217925,0.260610,0.089856,0.064829,0.000621,0.005652,0.004139,0.004405,0.003548,0.003531,0.003660,0.003240,0.016504,0.056701,0.001175,0.018076,1
0.034256,0.145523,3.102568,0.101371,0.173184,0.197671,0.011815,0.041652,-24.343578,3.022888,-0.172926,-0.103014,-0.024227,-0.113091,0.030970,-0.208022,-0.153722,-0.049342,-0.060074,-0.353105,-0.630687,0.188619,0.002323,0.012654,0.010387,0.004387,0.002810,0.003661,0.001186,0.001533,0.002262,0.007057,0.030915,0.053437,0.044415,0.109068,0.338285,0.055114,0.042831,0.381530,0.012810,0.045231,1.909398,1.310001,0.299796,0.549699,0.152472,0.264295,0.160420,0.296901,0.136340,0.160765,0.238087,0.212625,0.312298,0.102828,0.003317,0.021009,0.016717,0.006497,0.004218,0.004380,0.001589,0.002033,0.002897,0.009185,0.019279,0.025908,1
0.091561,0.097998,3.145855,0.154819,0.155999,0.612478,0.008614,0.128010,-25.269117,1.958815,0.870493,-0.222010,-0.254558,0.017995,-0.006713,0.116803,-0.016084,-0.080510,-0.033752,0.142674,-0.166671,0.002572,0.000760,0.011969,0.001241,0.002091,0.001094,0.011282,0.000808,0.033000,0.107813,0.005464,0.000340,0.031820,0.118324,0.063766,0.229765,0.108000,0.031521,0.825588,0.011423,0.165660,1.867923,1.657823,0.818906,0.477079,0.423367,0.458810,0.239990,0.265425,0.247116,0.179645,0.182427,0.169564,0.198345,0.005560,0.000850,0.017351,0.001175,0.002037,0.000637,0.014806,0.000627,0.040318,0.073693,0.008875,0.000311,0.020540,1
0.019409,0.054995,3.197008,0.084788,0.153310,0.060574,0.012496,0.034281,-24.279046,3.349770,-0.557560,-0.295932,-0.265158,0.014406,0.280106,0.102600,0.051770,-0.058218,-0.106503,-0.029324,-0.096325,0.003475,0.007006,0.026195,0.003807,0.002767,0.008957,0.088239,0.010501,0.009580,0.046036,0.009401,0.001109,0.031610,0.007878,0.041228,0.075432,0.031601,0.033579,0.089103,0.007969,0.014404,2.142882,1.051166,1.119538,0.701216,0.619699,0.270911,0.149478,0.163594,0.242380,0.143497,0.246249,0.192170,0.081444,0.003495,0.004693,0.031438,0.003607,0.002464,0.012488,0.051469,0.020222,0.006362,0.035552,0.006318,0.000859,0.007357,1
0.146066,0.105844,3.129181,0.198190,0.170533,0.749102,0.005594,0.189461,-25.413057,1.950435,-0.305147,-0.343854,-0.368572,-0.396070,-0.434713,-0.382576,-0.173495,0.068058,0.418049,0.340746,0.084791,0.000978,0.001001,0.001356,0.001220,0.001735,0.004081,0.019233,0.006270,0.114160,0.001681,0.001521,0.000922,0.031460,0.160782,0.078128,0.297583,0.127579,0.039500,0.906562,0.004774,0.224260,2.170623,2.192648,0.331341,0.326004,0.250096,0.492829,0.380916,0.419534,0.383993,0.203249,0.299178,0.309538,0.127655,0.000493,0.001583,0.000836,0.000752,0.001320,0.004097,0.018005,0.008170,0.089825,0.001246,0.001655,0.000863,0.024324,1
0.057244,0.088029,3.080148,0.118903,0.154603,0.397939,0.006564,0.093315,-24.440807,-0.166123,-1.321757,0.519453,-0.247017,-0.715383,-0.461760,-0.777485,-0.158585,0.317727,0.282423,0.670608,-0.130639,0.001521,0.001765,0.028989,0.001393,0.003697,0.001983,0.007113,0.010319,0.024395,0.008255,0.004190,0.001821,0.012028,0.037026,0.089015,0.353031,0.033747,0.023084,0.541444,0.005177,0.063883,2.243613,1.169284,0.808481,0.578895,0.469932,0.473120,0.383667,0.286315,0.157077,0.178093,0.325016,0.315233,0.157235,0.001421,0.001152,0.036994,0.001211,0.007175,0.002351,0.004770,0.006383,0.019490,0.010995,0.004385,0.002237,0.009315,1
0.068512,0.066545,3.184169,0.142368,0.177256,0.481020,0.011683,0.104356,-24.837357,1.342845,-0.971467,0.700497,0.184270,-0.776092,-0.481700,-0.558656,-0.326990,0.102759,0.317633,0.389813,0.243254,0.001634,0.023494,0.009003,0.002008,0.002247,0.004048,0.074081,0.002829,0.031584,0.001957,0.003846,0.000992,0.028198,0.065225,0.070349,0.191963,0.063901,0.032135,0.767426,0.009063,0.112121,2.428035,1.504508,0.847572,0.523444,0.403150,0.611784,0.595776,0.193790,0.278576,0.242133,0.240597,0.395600,0.190774,0.000845,0.033540,0.014003,0.002608,0.001845,0.004452,0.067482,0.004339,0.056561,0.001995,0.006224,0.001139,0.018797,1
