@RELATION toneClassifier
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {1,2,3,4}

@DATA
0.043917,0.090785,3.188000,0.109216,0.169795,0.057770,0.007884,0.058921,-25.122843,1.253007,-1.212304,1.103998,-0.598289,-0.626335,0.049363,-0.627294,-0.700741,-0.275657,-0.025534,0.302422,0.284062,0.001871,0.001269,0.000977,0.019769,0.011266,0.032229,0.007580,0.031468,0.009570,0.005253,0.002510,0.001300,0.015840,0.004560,0.040380,0.275536,0.017372,0.029781,0.028194,0.008426,0.007986,1.222775,0.613090,0.393832,0.487602,0.293070,0.314753,0.202822,0.237706,0.213612,0.218198,0.249753,0.232780,0.201829,0.000749,0.000491,0.001298,0.019405,0.016280,0.014012,0.015027,0.020164,0.009996,0.007404,0.002881,0.001571,0.009790,1
0.032070,0.044762,2.881258,0.117514,0.172055,0.139766,0.006519,0.063340,-26.921399,0.773967,-1.026218,1.004740,-0.086946,-0.731743,-0.453462,-0.480888,-0.144720,-0.340637,-0.297665,0.216935,0.341026,0.021033,0.004135,0.001564,0.039319,0.025265,0.030632,0.000731,0.029375,0.009296,0.007964,0.004318,0.007135,0.024075,0.007394,0.025323,0.376145,0.023167,0.034005,0.027835,0.003066,0.006984,1.495731,0.441251,0.317736,0.204958,0.221149,0.195788,0.244424,0.336913,0.186066,0.192766,0.164104,0.146842,0.215895,0.016855,0.001964,0.000526,0.039111,0.022670,0.005483,0.000497,0.005606,0.010963,0.005477,0.003418,0.003887,0.008463,1
0.032853,0.065920,3.171281,0.092457,0.144102,0.075527,0.006567,0.057185,-25.064429,1.484481,-1.656213,0.718581,-0.276539,-0.759313,0.101596,-0.725253,-0.445025,-0.566061,-0.207852,0.270759,0.694102,0.002181,0.002286,0.001010,0.023802,0.030735,0.059696,0.001490,0.014475,0.023133,0.002938,0.002394,0.004772,0.024266,0.006954,0.023431,0.249198,0.015721,0.027135,0.033608,0.004710,0.008794,1.490675,0.485211,0.405962,0.333315,0.368493,0.348971,0.192476,0.264419,0.257294,0.158406,0.222345,0.187402,0.214705,0.001133,0.002317,0.000608,0.034343,0.020594,0.020670,0.000751,0.008166,0.017558,0.001683,0.001327,0.005188,0.008280,1
0.036120,0.041074,3.011143,0.074421,0.122943,0.047054,0.064992,0.050019,-26.844273,1.566312,-1.862253,0.790366,0.056347,-0.222412,0.277763,-0.086084,-0.408854,0.320865,-0.192977,0.067805,-0.085775,0.006799,0.005340,0.006450,0.099919,0.002735,0.007953,0.002475,0.009723,0.016247,0.013064,0.040731,0.005326,0.035158,0.015515,0.034696,0.233920,0.030047,0.044655,0.042709,0.211373,0.021143,6.711035,0.945273,0.905076,0.403264,0.249271,0.197265,0.177138,0.204123,0.226260,0.225564,0.190552,0.209627,0.128924,0.006733,0.009961,0.013421,0.234292,0.002019,0.009542,0.002136,0.013463,0.016039,0.007980,0.054911,0.012069,0.063776,1
0.016085,0.049291,3.115642,0.078313,0.154839,0.070159,0.008891,0.025897,-27.340614,3.017518,-0.138675,0.914441,0.703935,-0.018332,0.334994,0.066501,-0.271986,0.238656,-0.227869,-0.156075,-0.130294,0.000685,0.006341,0.004981,0.036985,0.004035,0.001833,0.002067,0.039460,0.001244,0.002332,0.141267,0.016316,0.041363,0.004832,0.025053,0.239095,0.024464,0.036940,0.041446,0.006212,0.007893,1.650444,0.512176,0.296463,0.266458,0.162600,0.174865,0.218392,0.141929,0.103399,0.204384,0.128069,0.120781,0.091845,0.000589,0.002738,0.002279,0.007038,0.003069,0.001346,0.003211,0.019251,0.001714,0.002340,0.039534,0.011948,0.009074,1
0.034634,0.036680,2.886358,0.089303,0.142130,0.094096,0.008068,0.047979,-24.851229,2.238817,-1.674906,0.316224,0.883328,-0.443441,0.294430,-0.067570,-0.296385,-0.045231,0.233969,-0.038847,0.073897,0.010839,0.012860,0.005100,0.034265,0.006325,0.024792,0.014302,0.035976,0.005569,0.013926,0.019349,0.004657,0.019611,0.008663,0.025110,0.158878,0.025419,0.037358,0.054112,0.007769,0.010204,2.527516,0.790936,0.564934,0.273606,0.292495,0.302816,0.202144,0.303691,0.146330,0.202874,0.279196,0.163138,0.155352,0.010362,0.009704,0.006007,0.028484,0.009586,0.016225,0.014122,0.036514,0.010660,0.015357,0.035251,0.008615,0.009633,1
0.013933,0.086065,3.156598,0.083550,0.168759,0.055018,0.006398,0.018232,-25.328361,3.610957,0.413963,0.433856,0.012930,-0.018555,-0.072769,0.450516,0.225302,-0.100061,-0.290523,-0.070190,0.099304,0.002240,0.023536,0.005053,0.023514,0.000560,0.006769,0.000593,0.112315,0.000167,0.002275,0.076646,0.000162,0.041486,0.008872,0.036430,0.270238,0.023906,0.031694,0.071364,0.004531,0.009686,1.334322,0.419368,0.592476,0.290485,0.334207,0.259365,0.227048,0.198889,0.135760,0.202353,0.226788,0.111006,0.108914,0.001718,0.009949,0.002581,0.009547,0.000591,0.006704,0.000556,0.035755,0.000248,0.002192,0.026730,0.000113,0.006075,1
0.012503,0.038826,2.709881,0.106786,0.193159,0.050312,0.005307,0.013660,-27.623456,3.307927,0.667122,0.355440,0.217768,0.075079,0.088826,-0.031784,0.023335,0.046480,-0.054831,-0.092318,-0.061044,0.002068,0.056656,0.001509,0.018958,0.000559,0.005166,0.000595,0.075633,0.000260,0.002950,0.087611,0.000135,0.039222,0.005529,0.031608,0.145696,0.017556,0.027315,0.020739,0.003702,0.002034,0.835823,0.274497,0.272300,0.294071,0.223151,0.158178,0.117035,0.156623,0.072052,0.134900,0.121191,0.090325,0.074891,0.002613,0.029371,0.001834,0.004752,0.000685,0.001867,0.000502,0.023233,0.000195,0.002053,0.017509,0.000074,0.003325,1
0.012325,0.056465,2.947150,0.087672,0.172527,0.041433,0.028364,0.020735,-27.793818,3.111800,0.153503,0.451882,0.273653,0.136097,0.219712,0.072598,-0.016871,-0.117457,-0.206331,-0.015208,-0.102263,0.000805,0.024256,0.008928,0.069620,0.001413,0.003130,0.000544,0.026658,0.002829,0.007874,0.127799,0.002232,0.048881,0.005671,0.057688,0.401008,0.022964,0.027271,0.053197,0.018120,0.009393,1.911908,0.532138,0.465699,0.354490,0.216816,0.190883,0.123007,0.248380,0.219346,0.176594,0.166040,0.156644,0.164094,0.000705,0.029565,0.008983,0.077833,0.001182,0.003317,0.000614,0.017823,0.002897,0.008055,0.068418,0.002211,0.016487,1
0.013298,0.074556,3.221676,0.106520,0.193428,0.066955,0.008133,0.014099,-25.821189,3.122345,0.770252,0.239494,0.083708,0.122275,0.017764,0.234812,0.005728,0.023124,-0.163781,-0.168862,-0.074048,0.004059,0.033809,0.014067,0.013098,0.000809,0.006222,0.000465,0.037336,0.000233,0.004076,0.135641,0.000206,0.045584,0.003417,0.050111,0.177544,0.022601,0.026336,0.035814,0.008828,0.003050,1.736258,0.352861,0.518681,0.300114,0.323211,0.189255,0.189374,0.187987,0.150833,0.118272,0.104409,0.123197,0.138990,0.004424,0.030386,0.014102,0.007857,0.000751,0.008484,0.000548,0.015393,0.000197,0.003930,0.038085,0.000178,0.006751,1
